captured_at	value
2021-12-19T02:07:26.000Z	3300
2021-12-19T02:07:31.000Z	3400
2021-12-19T02:07:36.000Z	3200
2021-12-19T02:07:41.000Z	2800
2021-12-19T02:07:46.000Z	2300
2021-12-19T02:07:51.000Z	2200
2021-12-19T02:07:56.000Z	2200
2021-12-19T02:08:01.000Z	2200
2021-12-19T02:08:06.000Z	2000
2021-12-19T02:08:11.000Z	2000
2021-12-19T02:08:16.000Z	2000
2021-12-19T02:08:21.000Z	2000
2021-12-19T02:08:26.000Z	2100
2021-12-19T02:08:31.000Z	2000
2021-12-19T02:08:36.000Z	2100
2021-12-19T02:08:41.000Z	2400
2021-12-19T02:08:46.000Z	2700
2021-12-19T02:08:51.000Z	2500
2021-12-19T02:08:56.000Z	2700
2021-12-19T02:09:01.000Z	2900
2021-12-19T02:09:06.000Z	2800
2021-12-19T02:09:11.000Z	2800
2021-12-19T02:09:16.000Z	2800
2021-12-19T02:09:21.000Z	2900
2021-12-19T02:09:26.000Z	2400
2021-12-19T02:09:31.000Z	2400
2021-12-19T02:09:36.000Z	2700
2021-12-19T01:36:49.000Z	3600
2021-12-19T01:36:54.000Z	3800
2021-12-19T01:36:59.000Z	3900
2021-12-19T01:37:04.000Z	4000
2021-12-19T01:37:09.000Z	4100
2021-12-19T01:37:14.000Z	3600
2021-12-19T01:37:19.000Z	3500
2021-12-19T01:37:24.000Z	3900
2021-12-19T02:09:41.000Z	2800
2021-12-19T02:09:46.000Z	3000
2021-12-19T02:09:51.000Z	3400
2021-12-19T02:09:56.000Z	3300
2021-12-19T02:10:01.000Z	3000
2021-12-19T02:10:06.000Z	3200
2021-12-19T02:10:11.000Z	3200
2021-12-19T02:10:16.000Z	3200
2021-12-19T02:10:21.000Z	2900
2021-12-19T02:10:26.000Z	3200
2021-12-19T02:10:31.000Z	3200
2021-12-19T02:10:36.000Z	2700
2021-12-19T02:10:41.000Z	2700
2021-12-19T02:10:46.000Z	2700
2021-12-19T02:10:51.000Z	2300
2021-12-19T02:10:56.000Z	2100
2021-12-19T02:11:01.000Z	2200
2021-12-19T02:11:06.000Z	2100
2021-12-19T02:11:11.000Z	2200
2021-12-19T02:11:16.000Z	2500
2021-12-19T02:11:22.000Z	2900
2021-12-19T02:11:27.000Z	2600
2021-12-19T02:11:32.000Z	2800
2021-12-19T02:11:37.000Z	2900
2021-12-19T02:11:42.000Z	2500
2021-12-19T02:11:47.000Z	2000
2021-12-19T02:11:52.000Z	2400
2021-12-19T02:11:57.000Z	2500
2021-12-19T02:12:02.000Z	2500
2021-12-19T02:12:07.000Z	2500
2021-12-19T02:12:12.000Z	2600
2021-12-19T02:12:17.000Z	2400
2021-12-19T02:12:22.000Z	2100
2021-12-19T02:12:27.000Z	2500
2021-12-19T02:12:32.000Z	2300
2021-12-19T02:12:37.000Z	2500
2021-12-19T02:12:42.000Z	2600
2021-12-19T02:12:47.000Z	2800
2021-12-19T02:12:52.000Z	2800
2021-12-19T02:12:57.000Z	2800
2021-12-19T02:13:02.000Z	3100
2021-12-19T02:13:07.000Z	3300
2021-12-19T01:21:40.000Z	4500
2021-12-19T01:21:45.000Z	4400
2021-12-19T01:21:50.000Z	4400
2021-12-19T01:21:55.000Z	4300
2021-12-19T01:22:00.000Z	3900
2021-12-19T01:22:05.000Z	3900
2021-12-19T01:22:10.000Z	4000
2021-12-19T01:22:15.000Z	3900
2021-12-19T01:22:20.000Z	3100
2021-12-19T01:22:25.000Z	3000
2021-12-19T01:22:30.000Z	2800
2021-12-19T01:22:35.000Z	3000
2021-12-19T01:22:40.000Z	3000
2021-12-19T01:22:45.000Z	3100
2021-12-19T01:22:50.000Z	2700
2021-12-19T01:22:55.000Z	2800
2021-12-19T01:23:00.000Z	2800
2021-12-19T01:23:05.000Z	2500
2021-12-19T01:23:10.000Z	2200
2021-12-19T01:23:15.000Z	2200
2021-12-19T01:23:20.000Z	2300
2021-12-19T01:23:25.000Z	2400
2021-12-19T01:23:30.000Z	2400
2021-12-19T01:23:36.000Z	2000
2021-12-19T01:23:41.000Z	2200
